skos:Scheme,ID,rdf:type (skos:),dct:source ,skos:broader,skos:broader name,skos:note @en,skos:scopeNote @en,skos:prefLabel @de,skos:altLabel @de,skos:altLabel @de,skos:prefLabel @en,skos:altLabel @en,skos:altLabel @en,skos:altLabel @en,external concept (wikidata),type of match (wikidata),external concept (chronontology),type of match (chronontology),external concept (getty),type of match (getty)
kulturepoche,201,Concept,OeAI,130,urartäisch,,,mittelurartäisch,,,Middle Urartian,,,,,,,,,
kulturepoche,202,Concept,OeAI,130,urartäisch,,,späturartäisch,,,Late Urartian,,,,,,,,,
kulturepoche,203,Concept,OeAI,128,römisch,,,spätantik,,,Late Antiquity,,,,https://www.wikidata.org/wiki/Q217050,skos:exactMatch,,,,
kulturepoche,204,topConcept,OeAI,,KulturEpoche,,,selcukisch,,,,,,,,,,,,
kulturepoche,205,Concept,OeAI,132,1. Zwischenzeit,,,10. Dynastie,,,10th Dynasty,,,,https://www.wikidata.org/wiki/Q429981,skos:exactMatch,,,,
kulturepoche,206,Concept,OeAI,132,1. Zwischenzeit,,,9. Dynastie,,,9th Dynasty,,,,https://www.wikidata.org/wiki/Q728449,skos:exactMatch,,,,
kulturepoche,207,Concept,OeAI,133,2. Zwischenzeit,,"The Second Intermediate Period begins in the middle (or at the end, depending on the researcher) of the 13th Dynasty",13. Dynastie,,,13th Dynasty,,,,https://www.wikidata.org/wiki/Q721807,skos:exactMatch,,,,
kulturepoche,208,Concept,OeAI,133,2. Zwischenzeit,,,14. Dynastie,,,14th Dynasty,,,,https://www.wikidata.org/wiki/Q650945,skos:exactMatch,,,,
kulturepoche,209,Concept,OeAI,133,2. Zwischenzeit,,,15. Dynastie,,,15th Dynasty,,,,https://www.wikidata.org/wiki/Q728479,skos:exactMatch,,,,
kulturepoche,210,Concept,OeAI,133,2. Zwischenzeit,,,16. Dynastie,,,16th Dynasty,,,,https://www.wikidata.org/wiki/Q737695,skos:exactMatch,,,,
kulturepoche,211,Concept,OeAI,133,2. Zwischenzeit,,,17. Dynastie,,,17th Dynasty,,,,https://www.wikidata.org/wiki/Q642301,skos:exactMatch,,,,
kulturepoche,212,Concept,OeAI,134,3. Zwischenzeit,,,21. Dynastie,,,21st Dynasty,,,,https://www.wikidata.org/wiki/Q748151,skos:exactMatch,,,,
kulturepoche,213,Concept,OeAI,134,3. Zwischenzeit,,,22. Dynastie,,,22nd Dynasty,,,,https://www.wikidata.org/wiki/Q737629,skos:exactMatch,,,,
kulturepoche,214,Concept,OeAI,134,3. Zwischenzeit,,,23. Dynastie,,,23rd Dynasty,,,,https://www.wikidata.org/wiki/Q748170,skos:exactMatch,,,,
kulturepoche,215,Concept,OeAI,134,3. Zwischenzeit,,,24. Dynastie,,,24th Dynasty,,,,https://www.wikidata.org/wiki/Q754749,skos:exactMatch,,,,
kulturepoche,216,Concept,OeAI,134,3. Zwischenzeit,,,25. Dynastie,,,25th Dynasty,,,,https://www.wikidata.org/wiki/Q737648,skos:exactMatch,,,,
kulturepoche,217,Concept,OeAI,135,Altes Reich,,,3. Dynastie,,,3rd Dynasty,,,,https://www.wikidata.org/wiki/Q220276,skos:exactMatch,,,,
kulturepoche,218,Concept,OeAI,135,Altes Reich,,,4. Dynastie,,,4th Dynasty,,,,https://www.wikidata.org/wiki/Q211001,skos:exactMatch,,,,
kulturepoche,219,Concept,OeAI,135,Altes Reich,,,5. Dynastie,,,5th Dynasty,,,,https://www.wikidata.org/wiki/Q269237,skos:exactMatch,,,,
kulturepoche,220,Concept,OeAI,135,Altes Reich,,,6. Dynastie,,,6th Dynasty,,,,https://www.wikidata.org/wiki/Q269979,skos:exactMatch,,,,
kulturepoche,221,Concept,OeAI,135,Altes Reich,,,8. Dynastie,,,8th Dynasty,,,,https://www.wikidata.org/wiki/Q1400616,skos:exactMatch,,,,
kulturepoche,222,Concept,OeAI,136,Fruehzeit,,,1. Dynastie,,,1st Dynasty,,,,https://www.wikidata.org/wiki/Q203859,skos:exactMatch,,,,
kulturepoche,223,Concept,OeAI,136,Fruehzeit,,,2. Dynastie,,,2nd Dynasty,,,,https://www.wikidata.org/wiki/Q207778,skos:exactMatch,,,,
kulturepoche,224,Concept,OeAI,137,Mittleres Reich,,The Middle Kingdom begins around the middle of the 11th dynasty.,11. Dynastie,,,11th Dynasty,,,,https://www.wikidata.org/wiki/Q719634,skos:exactMatch,,,,
kulturepoche,225,Concept,OeAI,137,Mittleres Reich,,,12. Dynastie,,,12th Dynasty,,,,https://www.wikidata.org/wiki/Q719639,skos:exactMatch,,,,
kulturepoche,226,Concept,OeAI,138,Neues Reich,,,18. Dynastie,,,18th Dynasty,,,,https://www.wikidata.org/wiki/Q146055,skos:exactMatch,,,,
kulturepoche,227,Concept,OeAI,138,Neues Reich,,,19. Dynastie,,,19th Dynasty,,,,https://www.wikidata.org/wiki/Q157956,skos:exactMatch,,,,
kulturepoche,228,Concept,OeAI,138,Neues Reich,,,20. Dynastie,,,20th Dynasty,,,,https://www.wikidata.org/wiki/Q583501,skos:exactMatch,,,,
kulturepoche,229,Concept,OeAI,140,Spaetzeit,,,27. Dynastie,,,27th Dynasty,,,,https://www.wikidata.org/wiki/Q926624,skos:exactMatch,,,,
kulturepoche,230,Concept,OeAI,140,Spaetzeit,,,28. Dynastie,,,28th Dynasty,,,,https://www.wikidata.org/wiki/Q833118,skos:exactMatch,,,,
kulturepoche,231,Concept,OeAI,140,Spaetzeit,,,29. Dynastie,,,29th Dynasty,,,,https://www.wikidata.org/wiki/Q511257,skos:exactMatch,,,,
